Year,City,Month,Mean max temperature (Â°C),Monthly precipitation (mm)
2001,Sydney,November,23.5,98.4
2001,Sydney,December,26.2,40.2
2001,Perth,January,31.7,41
2001,Perth,February,29.3,29.8
2001,Perth,March,23.9,54.4
2001,Perth,April,21.8,68.8
2001,Perth,May,15.9,24.8
2001,Perth,June,14.1,23.2
2001,Perth,July,12.8,53.6
2001,Perth,August,13.2,31.2
2001,Perth,September,18,61
2001,Perth,October,18.6,75.8
2001,Perth,November,22.5,43.8
2001,Perth,December,27.5,33
2001,Adelaide,January,33.7,19.6
2001,Adelaide,February,31.6,10.4
2001,Adelaide,March,25.5,49
2001,Adelaide,April,22.4,20
2001,Adelaide,May,18.9,87.4
2001,Adelaide,June,16.2,105
2001,Adelaide,July,15.7,61.4
2001,Adelaide,August,16.3,87.8
2001,Adelaide,September,20.2,137.2
2001,Adelaide,October,18.8,80.6
2001,Adelaide,November,22.7,43.6
2001,Adelaide,December,23.3,14.2
2002,Melbourne,January,25.1,38.2
2002,Melbourne,February,25.4,68
2002,Melbourne,March,24.3,21
2002,Melbourne,April,22.2,39.4
2002,Melbourne,May,18.8,36.8
2002,Melbourne,June,15.8,27.2
2002,Melbourne,July,15.3,19.6
2002,Melbourne,August,16.4,35.6
2002,Melbourne,September,18.8,39.2
2002,Melbourne,October,21,34.2
2002,Melbourne,November,23.5,25.4
2002,Melbourne,December,24.5,12
2002,Sydney,January,27.2,98.4
2002,Sydney,February,25.2,348.2
2002,Sydney,March,25.7,45.4
2002,Sydney,April,24.3,68.4
2002,Sydney,May,20.1,92.8
2002,Sydney,June,18.1,28.4
2002,Sydney,July,18.5,24.2
2002,Sydney,August,19.6,19.8
2002,Sydney,September,22.7,21.8
2002,Sydney,October,24.5,5.8
2002,Sydney,November,25.3,31.8
2002,Sydney,December,25.4,75
2002,Perth,January,28.8,71.4
2002,Perth,February,25.3,128
2002,Perth,March,25.7,50.6
2002,Perth,April,22.5,25.6
2002,Perth,May,16.1,29.1
2002,Perth,June,13,26
2002,Perth,July,13.3,10.3
2002,Perth,August,15.9,9.9
2002,Perth,September,18.5,40
2002,Perth,October,23.5,2.8
2002,Perth,November,28.4,20.2
2002,Perth,December,28.4,44
2002,Adelaide,January,27.2,20.6
2002,Adelaide,February,26.4,0
2002,Adelaide,March,25.8,12.2
2002,Adelaide,April,24.3,10.8
2002,Adelaide,May,20.8,62.8
2002,Adelaide,June,16.3,60
2002,Adelaide,July,16.4,83.6
2002,Adelaide,August,17,26.6
2002,Adelaide,September,19.4,39.4
2002,Adelaide,October,21.6,22.4
2002,Adelaide,November,26.4,31
2002,Adelaide,December,27.8,9
2003,Melbourne,January,27.5,10.6
2003,Melbourne,February,26.1,20
2003,Melbourne,March,24.3,22.6
2003,Melbourne,April,21.2,73.2
2003,Melbourne,May,18.8,23.6
2003,Melbourne,June,15.4,35.2
2003,Melbourne,July,14.7,68
2003,Melbourne,August,15,49.4
2003,Melbourne,September,17.4,29.2
2003,Melbourne,October,17.7,70.8
2003,Melbourne,November,23.7,19.2
2003,Melbourne,December,27.2,71.2
2003,Sydney,January,27.2,13.6
2003,Sydney,February,27.1,59.4
2003,Sydney,March,25.2,132
2003,Sydney,April,22.7,192.2
2003,Sydney,May,20.6,348.6
2003,Sydney,June,19.6,76.4
2003,Sydney,July,17.8,58.2
2003,Sydney,August,19.1,43
2003,Sydney,September,22.6,5.8
2003,Sydney,October,21.6,102.8
2003,Sydney,November,22.7,108.8
2003,Sydney,December,26,59.6
2003,Perth,January,31.6,20.6
2003,Perth,February,27.4,136.2
2003,Perth,March,23.5,43.2
2003,Perth,April,19.9,38.7
2003,Perth,May,17.2,25.4
2003,Perth,June,13.4,39.7
2003,Perth,July,12.2,44.4
2003,Perth,August,13.4,103
2003,Perth,September,16.8,22.6
2003,Perth,October,17.7,105.1
2003,Perth,November,23.3,83.6
2003,Perth,December,27.5,64.6
2003,Adelaide,January,31.4,23.2
2003,Adelaide,February,29.2,63
2003,Adelaide,March,24.8,10.2
2003,Adelaide,April,23.6,28
2003,Adelaide,May,19.9,69.6
2003,Adelaide,June,15.9,124.2
2003,Adelaide,July,16.1,39.2
2003,Adelaide,August,15.5,93.8
2003,Adelaide,September,18.2,47
2003,Adelaide,October,19,64.8
2003,Adelaide,November,27.6,12
2003,Adelaide,December,29,34.2
2004,Melbourne,January,24.6,63.2
2004,Melbourne,February,26,13
2004,Melbourne,March,23.8,14.8
2004,Melbourne,April,21.5,51.8
2004,Melbourne,May,17.4,29.2
2004,Melbourne,June,14.9,38.2
2004,Melbourne,July,14.2,27.6
2004,Melbourne,August,16.4,72.2
2004,Melbourne,September,17.3,65
2004,Melbourne,October,21.1,64.8
2004,Melbourne,November,22.4,123.4
2004,Melbourne,December,24.9,59
2004,Sydney,January,27.6,50.8
2004,Sydney,February,28.1,129.4
2004,Sydney,March,26.1,100.8
2004,Sydney,April,24.2,33.2
2004,Sydney,May,21.3,8
2004,Sydney,June,19.9,39
2004,Sydney,July,18,43.8
2004,Sydney,August,19.7,153.4
2004,Sydney,September,21.8,60.2
2004,Sydney,October,23.3,234
2004,Sydney,November,25.4,66.8
2004,Sydney,December,25.6,75.8
2004,Perth,January,30.6,20.5
2004,Perth,February,31.9,48.4
2004,Perth,March,26.5,17.8
2004,Perth,April,23.9,7.6
2004,Perth,May,16.7,51.1
2004,Perth,June,13.1,36.8
2004,Perth,July,11.8,35.5
2004,Perth,August,13.2,46.9
2004,Perth,September,17,37
2004,Perth,October,20.3,65.8
2004,Perth,November,23.5,98.8
2004,Perth,December,26.9,128.2
2004,Adelaide,January,25.9,9.8
2004,Adelaide,February,32.2,5.2
2004,Adelaide,March,27.7,24.2
2004,Adelaide,April,23.8,18.8
2004,Adelaide,May,18.8,62.8
2004,Adelaide,June,16.3,125
2004,Adelaide,July,14.8,75
2004,Adelaide,August,16.8,94
2004,Adelaide,September,18.5,58
2004,Adelaide,October,23.8,10.6
2004,Adelaide,November,24.7,64.8
2004,Adelaide,December,27.3,32
2005,Melbourne,January,26.5,23.8
2005,Melbourne,February,24.4,167.4
2005,Melbourne,March,23.9,8.6
2005,Melbourne,April,24.1,30.6
2005,Melbourne,May,18.5,10.6
2005,Melbourne,June,16.3,42.6
2005,Melbourne,July,15.3,25.2
2005,Melbourne,August,16.2,59.4
2005,Melbourne,September,18.2,41
2005,Melbourne,October,21.4,41.6
2005,Melbourne,November,24.5,57.6
2005,Melbourne,December,27.7,81.6
2005,Sydney,January,26.6,67.8
2005,Sydney,February,27.4,125
2005,Sydney,March,24.3,153.6
2005,Sydney,April,25.1,33.4
2005,Sydney,May,21.2,48.4
2005,Sydney,June,19.2,79
2005,Sydney,July,19,62.8
2005,Sydney,August,20,1.6
2005,Sydney,September,21,51.2
2005,Sydney,October,24.3,43
2005,Sydney,November,23.9,125
2005,Sydney,December,28.6,25.2
2005,Perth,January,28.9,82
2005,Perth,February,27.3,91.6
2005,Perth,March,25,17.2
2005,Perth,April,25.1,9.4
2005,Perth,May,18.6,2.6
2005,Perth,June,14.6,71.6
2005,Perth,July,12.6,60.4
2005,Perth,August,14.5,24.6
2005,Perth,September,16.7,87.6
2005,Perth,October,20.7,116.5
2005,Perth,November,23.3,166.6
2005,Perth,December,28.4,48.4
2005,Adelaide,January,29.1,37
2005,Adelaide,February,27,10.4
2005,Adelaide,March,26.2,11.6
2005,Adelaide,April,26.1,3.2
2005,Adelaide,May,20.9,8.2
2005,Adelaide,June,17.8,142
2005,Adelaide,July,15.7,42.8
2005,Adelaide,August,17.8,90.8
2005,Adelaide,September,19,59.2
2005,Adelaide,October,22,88.4
2005,Adelaide,November,25.2,79.6
2005,Adelaide,December,27.3,56.4
2006,Melbourne,January,27.7,54.2
2006,Melbourne,February,25.3,72.4
2006,Melbourne,March,26.1,16
2006,Melbourne,April,19.3,45
2006,Melbourne,May,16.5,67
2006,Melbourne,June,14.3,8.8
2006,Melbourne,July,14.5,51.6
2006,Melbourne,August,17,34.4
2006,Melbourne,September,19.7,36.6
2006,Melbourne,October,21.9,9.2
2006,Melbourne,November,22.5,24.8
2006,Melbourne,December,25.4,18.4
2006,Sydney,January,27,121.4
2006,Sydney,February,27.8,51.2
2006,Sydney,March,27.1,40.2
2006,Sydney,April,24.6,9.8
2006,Sydney,May,20.6,40.4
2006,Sydney,June,17,176.8
2006,Sydney,July,17.9,140.2
2006,Sydney,August,19.8,86
2006,Sydney,September,23.1,192
2006,Sydney,October,24.2,17.2
2006,Sydney,November,24.3,44.6
2006,Sydney,December,24.2,74.2
2006,Perth,January,30.5,146.6
2006,Perth,February,29.6,35.2
2006,Perth,March,26.9,6.4
2006,Perth,April,20.6,6.8
2006,Perth,May,16.4,6.8
2006,Perth,June,13.5,35.2
2006,Perth,July,12.9,61.6
2006,Perth,August,15.9,4.2
2006,Perth,September,20.4,23.2
2006,Perth,October,24.7,2.8
2006,Perth,November,27.1,59
2006,Perth,December,28.5,32.3
2006,Adelaide,January,31.9,22.4
2006,Adelaide,February,27.2,15.6
2006,Adelaide,March,28.6,20.2
2006,Adelaide,April,20.6,52.4
2006,Adelaide,May,17.4,48.8
2006,Adelaide,June,15.8,12.4
2006,Adelaide,July,15.3,36
2006,Adelaide,August,18.7,11.4
2006,Adelaide,September,21.1,32.6
2006,Adelaide,October,24.4,1
2006,Adelaide,November,27.1,18
2006,Adelaide,December,28.5,16.8
2007,Melbourne,January,27.9,33.4
2007,Melbourne,February,29,13.2
2007,Melbourne,March,25.8,42.2
2007,Melbourne,April,22.7,23
2007,Melbourne,May,19.6,38.8
2007,Melbourne,June,14.1,46.8
2007,Melbourne,July,13.8,62.6
2007,Melbourne,August,17.3,15
2007,Melbourne,September,18.8,18.6
2007,Melbourne,October,21.4,17.4
2007,Melbourne,November,24.4,66.2
2007,Melbourne,December,26.8,71.2
2007,Sydney,January,26.4,45.4
2007,Sydney,February,26,107.6
2007,Sydney,March,26.3,65.4
2007,Sydney,April,23,179.6
2007,Sydney,May,22.4,9.8
2007,Sydney,June,16.8,510.6
2007,Sydney,July,17.1,67.2
2007,Sydney,August,19.9,152.2
2007,Sydney,September,20.9,41.2
2007,Sydney,October,25,27
2007,Sydney,November,23.5,170
2007,Sydney,December,24.7,123.2
2007,Perth,January,31.1,53.6
2007,Perth,February,28.5,114.2
2007,Perth,March,26,27
2007,Perth,April,22.3,20.6
2007,Perth,May,18,69.6
2007,Perth,June,11.6,48.8
2007,Perth,July,11,24.3
2007,Perth,August,15.1,18.2
2007,Perth,September,17.9,3.8
2007,Perth,October,24,48
2007,Perth,November,24.1,166.4
2007,Perth,December,25.2,73.4
2007,Adelaide,January,29.6,40.2
2007,Adelaide,February,32.9,0
2007,Adelaide,March,27.3,24.6
2007,Adelaide,April,24.7,82.4
2007,Adelaide,May,20.1,45
2007,Adelaide,June,14.6,64.8
2007,Adelaide,July,15.6,65.8
2007,Adelaide,August,18.5,25.8
2007,Adelaide,September,20.8,24
2007,Adelaide,October,23.2,25.2
2007,Adelaide,November,28,29.6
2007,Adelaide,December,28.9,37.6
2008,Melbourne,January,27.9,32.8
2008,Melbourne,February,24.9,24.6
2008,Melbourne,March,27.1,70.8
2008,Melbourne,April,21,16.4
2008,Melbourne,May,17.3,44
2008,Melbourne,June,15.8,14.4
2008,Melbourne,July,14.2,44.4
2008,Melbourne,August,14.7,44.8
2008,Melbourne,September,19.4,12
2008,Melbourne,October,22.1,14.2
2008,Melbourne,November,23,54.2
2008,Melbourne,December,23.3,76.8
2008,Sydney,January,26,57
2008,Sydney,February,24.8,258.4
2008,Sydney,March,25.1,63.4
2008,Sydney,April,21.5,146.6
2008,Sydney,May,20.5,3
2008,Sydney,June,18.6,127.2
2008,Sydney,July,17.2,89.6
2008,Sydney,August,17.3,44.2
2008,Sydney,September,21.4,99.2
2008,Sydney,October,23.2,66.6
2008,Sydney,November,23.7,73.2
2008,Sydney,December,25.9,54.2
2008,Perth,January,28.5,76.6
2008,Perth,February,24.5,74.4
2008,Perth,March,25.7,41.8
2008,Perth,April,19,14.8
2008,Perth,May,17.4,17.4
2008,Perth,June,14.6,36.8
2008,Perth,July,12.2,37.8
2008,Perth,August,11.8,47.4
2008,Perth,September,17.7,91.8
2008,Perth,October,22.1,61.2
2008,Perth,November,23.2,117.3
2008,Perth,December,25.4,170.6
2008,Adelaide,January,31,9
2008,Adelaide,February,27.6,3
2008,Adelaide,March,30.9,16.4
2008,Adelaide,April,22.7,45
2008,Adelaide,May,19.7,63.4
2008,Adelaide,June,17,30.4
2008,Adelaide,July,14.8,72.2
2008,Adelaide,August,14.8,84.8
2008,Adelaide,September,20.4,16
2008,Adelaide,October,24.1,8
2008,Adelaide,November,24.7,13.8
2008,Adelaide,December,25.5,40.4
2009,Melbourne,January,28.6,0.8
2009,Melbourne,February,28.1,3
2009,Melbourne,March,24.3,47.6
2009,Melbourne,April,21,39.2
2009,Melbourne,May,17.9,10.6
2009,Melbourne,June,15.6,25.8
2009,Melbourne,July,15.2,39.6
2009,Melbourne,August,16.9,41.2
2009,Melbourne,September,18.6,71.2
2009,Melbourne,October,19.9,22
2009,Melbourne,November,27.1,103.6
2009,Melbourne,December,25.9,60.2
2009,Sydney,January,27.6,24.8
2009,Sydney,February,25.7,127.6
2009,Sydney,March,25.4,60.6
2009,Sydney,April,22.8,152.6
2009,Sydney,May,20.7,125.8
2009,Sydney,June,17.9,129.8
2009,Sydney,July,18.3,53
2009,Sydney,August,20.9,6
2009,Sydney,September,23.1,16
2009,Sydney,October,21.4,180
2009,Sydney,November,26.1,13.2
2009,Sydney,December,25.4,66.8
2009,Perth,January,30.5,18.6
2009,Perth,February,28.5,74.6
2009,Perth,March,26,24.8
2009,Perth,April,20.2,54
2009,Perth,May,17.1,4.8
2009,Perth,June,13.2,59.4
2009,Perth,July,12.1,41.7
2009,Perth,August,15.5,33.4
2009,Perth,September,17.8,68.8
2009,Perth,October,20,30.9
2009,Perth,November,30.5,17
2009,Perth,December,29,102.2
2009,Adelaide,January,32,1.2
2009,Adelaide,February,31.4,0.8
2009,Adelaide,March,26.3,21.4
2009,Adelaide,April,22.9,73.6
2009,Adelaide,May,18.1,63
2009,Adelaide,June,16.5,52
2009,Adelaide,July,15.8,109
2009,Adelaide,August,18.2,55.8
2009,Adelaide,September,19.6,61.6
2009,Adelaide,October,21.9,18.4
2009,Adelaide,November,30.8,42.2
2009,Adelaide,December,28.5,18.2
2010,Melbourne,January,27.5,25.6
2010,Melbourne,February,28.2,62.8
2010,Melbourne,March,26.2,84.8
2010,Melbourne,April,22.9,21.4
2010,Melbourne,May,18.2,25
2010,Melbourne,June,14.6,63.4
2010,Melbourne,July,14.6,30.8
2010,Melbourne,August,14.7,68.2
2010,Melbourne,September,16.5,53
2010,Melbourne,October,20.7,144.8
2010,Melbourne,November,23.2,115.2
2010,Melbourne,December,24.8,85.6
2010,Sydney,January,27.6,36
2010,Sydney,February,27.4,239.4
2010,Sydney,March,25.7,51.4
2010,Sydney,April,24.6,29.8
2010,Sydney,May,20.6,168.4
2010,Sydney,June,17.7,147.2
2010,Sydney,July,17.1,114.6
2010,Sydney,August,18.3,27
2010,Sydney,September,21,42.2
2010,Sydney,October,22,85
2010,Sydney,November,23.5,129.6
2010,Sydney,December,25.8,83.2
2010,Perth,January,30.3,50
2010,Perth,February,26.7,132.8
2010,Perth,March,24.6,138.4
2010,Perth,April,21.2,59.8
2010,Perth,May,16.6,54
2010,Perth,June,12.8,25.6
2010,Perth,July,12.5,99
2010,Perth,August,12.2,103
2010,Perth,September,16.4,57
2010,Perth,October,19.6,52.9
2010,Perth,November,22.3,96.9
2010,Perth,December,24.3,218.5
2010,Adelaide,January,31.4,9.2
2010,Adelaide,February,31.4,5.6
2010,Adelaide,March,27.7,19
2010,Adelaide,April,24.1,49.6
2010,Adelaide,May,19.7,56.8
2010,Adelaide,June,15.8,65.8
2010,Adelaide,July,15.4,59.8
2010,Adelaide,August,15.1,115.2
2010,Adelaide,September,16.9,72.2
2010,Adelaide,October,21.4,29.2
2010,Adelaide,November,24.3,23.2
2010,Adelaide,December,26.7,87
2011,Melbourne,January,26.5,89.6
2011,Melbourne,February,25.3,131.4
2011,Melbourne,March,23.5,30.4
2011,Melbourne,April,21.2,99.6
2011,Melbourne,May,16.3,68.4
2011,Melbourne,June,15.8,32.4
2011,Melbourne,July,14.6,37.4
2011,Melbourne,August,17.4,19
2011,Melbourne,September,19.4,72
2011,Melbourne,October,20.8,63.2
2011,Melbourne,November,24.5,108.8
2011,Melbourne,December,25.1,80.2
2011,Sydney,January,27.4,53.8
2011,Sydney,February,28.4,18
2011,Sydney,March,26,191.6
2011,Sydney,April,22.7,206.2
2011,Sydney,May,19.5,135.6
2011,Sydney,June,18,93.8
2011,Sydney,July,17.4,282.2
2011,Sydney,August,19.8,52.2
2011,Sydney,September,21.7,71.6
2011,Sydney,October,22.2,37.4
2011,Sydney,November,25.2,148.4
2011,Sydney,December,23.1,78.4
2011,Perth,January,29,34.1
2011,Perth,February,28.1,44.3
2011,Perth,March,23.6,111.1
2011,Perth,April,19.5,23.6
2011,Perth,May,15.5,41.9
2011,Perth,June,12.4,14.2
2011,Perth,July,12.1,20.4
2011,Perth,August,16,58.8
2011,Perth,September,18.1,101
2011,Perth,October,19.7,41.8
2011,Perth,November,24.6,133
2011,Perth,December,22.9,114
2011,Adelaide,January,30.6,17.4
2011,Adelaide,February,29.1,43.2
2011,Adelaide,March,24.6,78
2011,Adelaide,April,22.8,13.6
2011,Adelaide,May,18,61.8
2011,Adelaide,June,16.5,37.2
2011,Adelaide,July,15.6,61.4
2011,Adelaide,August,18.1,92.4
2011,Adelaide,September,20.8,46.8
2011,Adelaide,October,22.1,42.6
2011,Adelaide,November,26.8,25.2
2011,Adelaide,December,27.9,18.2
2012,Melbourne,January,27.4,29.4
2012,Melbourne,February,27,59.8
2012,Melbourne,March,23.7,59
2012,Melbourne,April,21.9,50.6
2012,Melbourne,May,17,82.6
2012,Melbourne,June,14.4,72.4
2012,Melbourne,July,14.9,59
2012,Melbourne,August,15.2,52.8
2012,Melbourne,September,18.6,39.2
2012,Melbourne,October,20.8,29.2
2012,Melbourne,November,23.3,37.2
2012,Melbourne,December,25.7,30
2012,Sydney,January,26.1,138.8
2012,Sydney,February,25.8,111
2012,Sydney,March,24.7,269.8
2012,Sydney,April,23.6,187
2012,Sydney,May,20.9,37.2
2012,Sydney,June,17.7,244.2
2012,Sydney,July,17.6,56.2
2012,Sydney,August,19.9,19
2012,Sydney,September,22.5,23.8
2012,Sydney,October,23.3,29.4
2012,Sydney,November,24.1,52
2012,Sydney,December,26,45.2
2012,Perth,January,25.9,88
2012,Perth,February,24.5,125.7
2012,Perth,March,22.5,141.7
2012,Perth,April,21.2,12.4
2012,Perth,May,16.3,47
2012,Perth,June,12.8,58.2
2012,Perth,July,13,55.4
2012,Perth,August,13.7,30.6
2012,Perth,September,18.4,39.2
2012,Perth,October,21.5,7.9
2012,Perth,November,26.5,22.2
2012,Perth,December,28.4,74.6
2012,Adelaide,January,31.1,18
2012,Adelaide,February,28.1,25
2012,Adelaide,March,26.2,63.2
2012,Adelaide,April,24.2,27
2012,Adelaide,May,18.2,62.4
2012,Adelaide,June,15.3,126.4
2012,Adelaide,July,15.3,66.2
2012,Adelaide,August,15.9,68
2012,Adelaide,September,19.8,21.8
2012,Adelaide,October,23.1,20
2012,Adelaide,November,27.7,17.6
2012,Adelaide,December,28.3,11.6